flow,voltage,label
0.0,0.0,0
0.0,0.0,0
20.13,8.25,2
269.54,5.03,1
248.44,5.4,1
60.5,7.62,1
2.32,8.16,2
28.88,10.54,2
30.95,10.9,2
144.89,5.82,1
217.15,7.55,1
125.62,5.07,1
290.05,5.9,1
219.62,5.28,1
0.0,0.0,0
127.05,5.76,1
112.77,6.79,1
5.5,10.37,2
0.0,0.0,0
0.0,0.0,0
0.0,0.0,0
14.12,11.2,2
0.0,0.0,0
23.77,8.8,2
257.6,7.27,1
0.0,0.0,0
44.04,8.83,2
0.0,0.0,0
17.27,10.82,2
41.48,11.27,2
159.78,5.94,1
127.14,5.6,1
263.34,5.37,1
0.0,0.0,0
26.05,9.85,2
0.0,0.0,0
0.0,0.0,0
85.06,6.64,1
80.92,6.95,1
0.0,0.0,0
144.2,7.24,1
24.83,8.87,2
20.8,8.94,2
0.0,0.0,0
0.0,0.0,0
117.42,5.5,1
0.0,0.0,0
17.59,8.96,2
0.0,0.0,0
0.0,0.0,0
201.53,7.63,1
237.25,7.16,1
162.93,6.75,1
45.46,11.56,2
37.07,9.32,2
0.0,0.0,0
148.96,5.85,1
42.3,11.43,2
7.6,11.09,2
141.68,7.07,1
38.97,10.11,2
17.88,8.44,2
0.0,0.0,0
212.08,7.37,1
236.87,6.14,1
29.54,10.92,2
0.0,0.0,0
4.97,11.0,2
27.59,11.05,2
0.0,0.0,0
0.0,0.0,0
0.0,0.0,0
157.17,5.29,1
0.0,0.0,0
0.0,0.0,0
27.78,9.97,2
214.36,7.09,1
0.0,0.0,0
295.37,6.5,1
0.0,0.0,0
17.48,8.99,2
77.47,5.86,1
116.77,7.81,1
78.08,6.38,1
216.15,5.46,1
23.45,11.49,2
0.0,0.0,0
0.0,0.0,0
160.77,6.17,1
0.0,0.0,0
11.04,8.73,2
0.0,0.0,0
0.0,0.0,0
230.45,6.13,1
47.36,10.55,2
40.7,9.12,2
0.0,0.0,0
0.0,0.0,0
0.0,0.0,0
45.96,10.49,2
0.0,0.0,0
0.0,0.0,0
1.57,8.58,2
238.79,7.0,1
28.79,11.43,2
5.69,11.33,2
158.94,7.03,1
14.16,9.44,2
113.84,5.17,1
236.65,6.42,1
42.48,9.62,2
0.0,0.0,0
37.98,8.67,2
49.76,11.21,2
102.22,7.4,1
0.0,0.0,0
153.28,5.22,1
0.0,0.0,0
9.18,9.99,2
106.34,6.82,1
21.09,10.19,2
218.34,5.69,1
68.92,5.66,1
44.55,9.85,2
0.0,0.0,0
0.0,0.0,0
0.0,0.0,0
31.53,11.46,2
32.98,10.73,2
2.88,9.07,2
143.33,7.99,1
0.0,0.0,0
73.95,7.92,1
240.41,5.43,1
62.82,6.48,1
24.19,10.12,2
0.0,0.0,0
27.97,11.91,2
119.98,6.71,1
296.12,5.75,1
0.0,0.0,0
171.86,5.4,1
139.12,6.97,1
0.0,0.0,0
0.0,0.0,0
101.25,5.43,1
0.0,0.0,0
4.6,9.52,2
46.76,8.37,2
0.0,0.0,0
191.39,5.98,1
31.37,10.9,2
242.07,6.26,1
44.95,9.87,2
0.0,0.0,0
247.15,7.12,1
4.18,10.59,2
244.28,7.8,1
0.0,0.0,0
155.81,5.96,1
61.2,5.32,1
141.54,5.21,1
0.0,0.0,0
260.83,6.64,1
0.0,0.0,0
0.0,0.0,0
38.48,9.84,2
27.59,8.15,2
63.33,5.99,1
43.82,8.06,2
159.88,6.25,1
235.31,5.41,1
64.76,5.83,1
2.6,10.23,2
33.17,8.92,2
29.12,10.39,2
0.0,0.0,0
0.0,0.0,0
0.0,0.0,0
0.0,0.0,0
0.0,0.0,0
0.0,0.0,0
203.42,5.28,1
0.0,0.0,0
245.78,5.62,1
118.6,6.32,1
0.0,0.0,0
136.99,7.15,1
0.0,0.0,0
125.73,7.91,1
0.0,0.0,0
0.0,0.0,0
8.74,11.29,2
16.83,11.48,2
27.47,10.19,2
0.0,0.0,0
287.18,5.05,1
0.0,0.0,0
159.41,7.23,1
245.9,7.95,1
254.87,5.94,1
30.58,11.21,2
0.0,0.0,0
150.09,7.16,1
200.65,7.01,1
197.81,5.91,1
49.9,10.67,2
31.42,8.43,2
259.61,7.45,1
0.0,0.0,0
8.62,8.17,2
243.54,5.44,1
0.0,0.0,0
78.39,6.2,1
233.97,7.91,1
0.0,0.0,0
110.13,7.05,1
31.83,11.64,2
0.0,0.0,0
287.93,6.01,1
22.88,8.98,2
21.57,8.06,2
0.0,0.0,0
273.5,6.6,1
35.45,9.73,2
279.85,5.66,1
33.35,10.47,2
48.2,9.44,2
43.46,10.15,2
23.83,8.98,2
295.3,7.67,1
0.0,0.0,0
25.39,11.51,2
0.0,0.0,0
36.99,9.4,2
0.0,0.0,0
22.34,11.8,2
0.0,0.0,0
177.83,5.45,1
26.41,11.09,2
0.0,0.0,0
37.81,11.72,2
13.5,8.9,2
9.32,9.05,2
38.37,8.89,2
0.0,0.0,0
238.32,6.77,1
125.05,5.32,1
0.0,0.0,0
0.0,0.0,0
216.03,5.26,1
0.0,0.0,0
99.77,6.71,1
243.61,7.79,1
5.36,9.47,2
135.54,7.17,1
0.0,0.0,0
170.45,6.41,1
0.0,0.0,0
0.0,0.0,0
46.93,9.9,2
6.24,10.74,2
15.98,11.09,2
178.19,7.58,1
0.0,0.0,0
297.36,6.78,1
0.0,0.0,0
13.83,10.31,2
287.06,6.18,1
104.51,6.18,1
29.3,9.23,2
4.46,10.53,2
29.13,11.51,2
147.3,6.71,1
0.0,0.0,0
17.29,9.74,2
21.66,9.52,2
0.0,0.0,0
13.59,11.9,2
85.22,7.1,1
160.56,7.28,1
0.0,0.0,0
196.13,6.96,1
0.0,0.0,0
24.38,9.47,2
0.0,0.0,0
11.85,10.38,2
7.96,8.8,2
0.0,0.0,0
0.0,0.0,0
3.02,10.82,2
18.98,10.44,2
0.0,0.0,0
213.98,6.2,1
0.0,0.0,0
0.0,0.0,0
0.0,0.0,0
0.0,0.0,0
199.95,7.68,1
119.97,7.17,1
236.04,6.16,1
0.0,0.0,0
41.55,11.54,2
32.32,8.93,2
78.6,7.22,1
272.71,5.04,1
0.0,0.0,0
82.16,5.79,1
0.0,0.0,0
114.62,7.5,1
0.0,0.0,0
30.6,8.03,2
206.82,6.02,1
35.2,11.31,2
35.84,8.18,2
34.8,9.72,2
173.49,6.03,1
0.0,0.0,0
107.17,7.87,1
134.7,6.89,1
0.0,0.0,0
0.6,9.52,2
289.38,5.82,1
144.31,7.09,1
1.46,11.69,2
0.41,9.04,2
214.14,7.5,1
0.0,0.0,0
0.0,0.0,0
155.26,7.5,1
164.64,6.71,1
48.36,9.07,2
19.9,9.37,2
66.61,6.72,1
128.54,7.03,1
17.05,11.53,2
0.0,0.0,0
0.0,0.0,0
0.0,0.0,0
47.93,11.02,2
104.47,7.02,1
20.97,10.65,2
0.0,0.0,0
47.64,10.83,2
0.0,0.0,0
42.17,11.18,2
0.0,0.0,0
233.37,6.76,1
40.05,8.86,2
24.42,10.81,2
0.0,0.0,0
284.88,7.58,1
115.6,5.21,1
43.94,11.12,2
29.43,8.81,2
263.3,6.02,1
0.0,0.0,0
39.08,11.92,2
95.01,5.08,1
35.97,10.56,2
35.04,10.13,2
0.0,0.0,0
0.0,0.0,0
293.93,7.87,1
0.0,0.0,0
0.0,0.0,0
1.6,10.33,2
33.47,8.46,2
0.0,0.0,0
117.51,7.98,1
49.74,9.72,2
0.0,0.0,0
32.87,8.32,2
25.28,8.37,2
0.0,0.0,0
0.0,0.0,0
247.5,5.76,1
0.0,0.0,0
0.0,0.0,0
49.76,9.86,2
208.21,7.77,1
155.24,6.18,1
246.05,6.15,1
22.08,8.28,2
0.0,0.0,0
273.65,6.8,1
108.78,7.48,1
47.34,10.3,2
28.85,8.33,2
7.56,10.73,2
169.77,6.43,1
158.29,7.19,1
288.86,5.86,1
176.22,5.58,1
112.59,5.63,1
0.0,0.0,0
1.52,11.0,2
0.0,0.0,0
0.0,0.0,0
0.0,0.0,0
248.34,5.17,1
27.67,10.64,2
0.0,0.0,0
18.01,11.91,2
0.0,0.0,0
28.8,9.82,2
130.71,5.59,1
160.35,6.23,1
0.0,0.0,0
0.0,0.0,0
155.05,6.03,1
5.88,8.8,2
43.49,9.01,2
0.0,0.0,0
0.0,0.0,0
18.98,8.09,2
8.34,9.45,2
204.85,7.75,1
46.84,11.18,2
5.31,10.74,2
105.18,7.67,1
30.82,9.02,2
24.04,10.53,2
0.0,0.0,0
0.0,0.0,0
0.0,0.0,0
87.54,7.12,1
0.0,0.0,0
132.63,7.97,1
139.7,7.3,1
29.98,9.44,2
0.0,0.0,0
130.04,7.73,1
10.81,8.27,2
65.76,6.8,1
176.4,6.81,1
16.55,8.49,2
0.0,0.0,0
257.93,6.69,1
96.73,5.86,1
16.15,8.52,2
137.48,5.56,1
0.0,0.0,0
251.55,5.12,1
135.11,7.28,1
184.29,5.17,1
8.65,11.49,2
33.51,9.34,2
12.35,11.16,2
10.12,11.44,2
0.0,0.0,0
100.84,7.62,1
17.17,10.73,2
9.09,11.6,2
29.93,8.76,2
0.0,0.0,0
171.24,7.14,1
107.56,6.39,1
0.0,0.0,0
158.15,6.2,1
199.66,7.25,1
2.86,11.94,2
298.35,6.85,1
60.33,5.9,1
0.0,0.0,0
35.87,9.16,2
214.8,5.15,1
17.82,8.05,2
0.0,0.0,0
0.0,0.0,0
217.26,7.85,1
156.18,7.24,1
0.0,0.0,0
15.1,10.12,2
95.52,5.89,1
271.58,6.42,1
21.47,9.36,2
294.53,7.49,1
44.42,9.73,2
31.8,9.97,2
16.56,10.84,2
102.27,6.84,1
222.25,7.7,1
3.93,8.88,2
0.0,0.0,0
278.31,5.05,1
0.0,0.0,0
6.82,10.59,2
0.0,0.0,0
18.2,11.46,2
26.93,8.82,2
0.0,0.0,0
0.0,0.0,0
0.0,0.0,0
0.0,0.0,0
157.71,7.74,1
36.29,11.22,2
226.07,6.78,1
40.42,11.31,2
0.0,0.0,0
0.0,0.0,0
0.0,0.0,0
160.0,6.06,1
19.85,11.93,2
0.0,0.0,0
0.0,0.0,0
154.22,7.89,1
18.77,10.07,2
217.28,5.02,1
40.07,8.57,2
86.14,5.04,1
121.02,7.66,1
36.08,10.59,2
142.5,5.81,1
49.3,8.16,2
46.33,10.89,2
236.61,6.72,1
0.0,0.0,0
10.25,9.91,2
0.0,0.0,0
0.0,0.0,0
3.62,11.03,2
141.39,5.25,1
222.81,6.84,1
42.24,11.92,2
237.34,6.73,1
41.89,8.8,2
61.96,7.12,1
9.34,10.48,2
0.0,0.0,0
184.49,7.85,1
0.0,0.0,0
68.6,5.19,1
5.45,9.07,2
6.38,9.03,2
0.0,0.0,0
275.77,6.24,1
12.38,11.47,2
8.47,9.98,2
106.87,7.91,1
44.88,9.16,2
154.82,5.72,1
114.39,5.81,1
127.53,6.01,1
0.0,0.0,0
0.0,0.0,0
0.0,0.0,0
0.0,0.0,0
97.59,5.67,1
225.83,7.51,1
43.17,11.99,2
30.69,11.45,2
134.18,6.62,1
12.75,11.24,2
275.73,5.86,1
0.0,0.0,0
103.93,6.15,1
0.0,0.0,0
0.0,0.0,0
232.26,5.93,1
0.0,0.0,0
2.1,10.44,2
13.43,8.16,2
238.75,5.4,1
26.11,11.7,2
212.06,7.84,1
41.15,10.85,2
190.92,7.58,1
0.0,0.0,0
281.45,6.18,1
43.51,11.66,2
23.62,8.2,2
0.0,0.0,0
291.11,7.91,1
0.0,0.0,0
20.46,9.82,2
268.01,6.47,1
22.46,9.67,2
244.62,6.74,1
42.29,11.09,2
112.86,5.36,1
45.71,8.84,2
0.0,0.0,0
273.76,6.65,1
0.0,0.0,0
92.27,6.32,1
40.32,11.57,2
106.78,6.67,1
0.0,0.0,0
9.56,10.45,2
36.14,8.89,2
191.22,7.71,1
101.53,6.58,1
180.36,7.72,1
143.5,6.48,1
80.76,5.88,1
0.0,0.0,0
0.0,0.0,0
112.83,7.77,1
285.78,5.25,1
0.0,0.0,0
0.0,0.0,0
0.0,0.0,0
11.02,11.24,2
20.6,10.86,2
47.34,9.85,2
101.08,6.73,1
294.45,6.44,1
275.57,5.15,1
0.0,0.0,0
0.0,0.0,0
246.81,7.58,1
38.59,10.4,2
0.0,0.0,0
26.6,8.49,2
49.83,8.57,2
0.0,0.0,0
120.68,6.5,1
86.62,6.67,1
0.0,0.0,0
272.99,5.59,1
258.02,6.8,1
42.0,9.61,2
0.0,0.0,0
0.0,0.0,0
63.01,6.87,1
71.21,6.16,1
16.97,11.11,2
0.0,0.0,0
0.0,0.0,0
0.0,0.0,0
8.13,9.81,2
0.0,0.0,0
15.39,9.82,2
0.0,0.0,0
0.0,0.0,0
125.68,5.06,1
20.52,8.01,2
0.0,0.0,0
18.84,8.26,2
9.25,8.37,2
269.1,6.45,1
31.76,9.47,2
0.0,0.0,0
0.0,0.0,0
219.0,5.88,1
0.0,0.0,0
47.22,9.31,2
27.99,8.97,2
264.05,7.17,1
0.0,0.0,0
19.91,11.65,2
0.0,0.0,0
0.0,0.0,0
210.39,6.1,1
0.0,0.0,0
223.54,6.38,1
0.0,0.0,0
0.0,0.0,0
0.0,0.0,0
0.0,0.0,0
29.88,10.17,2
33.78,9.5,2
0.0,0.0,0
184.81,5.96,1
3.63,10.37,2
0.0,0.0,0
0.0,0.0,0
262.97,5.79,1
0.0,0.0,0
0.0,0.0,0
0.0,0.0,0
47.46,11.91,2
35.46,10.42,2
4.54,8.08,2
0.0,0.0,0
87.43,7.27,1
0.0,0.0,0
225.78,5.24,1
192.2,6.95,1
6.41,9.82,2
18.31,9.26,2
43.94,9.86,2
170.93,7.98,1
249.03,5.61,1
112.65,7.6,1
42.74,9.82,2
0.0,0.0,0
76.67,7.22,1
6.34,10.18,2
0.0,0.0,0
0.0,0.0,0
0.0,0.0,0
27.41,11.04,2
0.0,0.0,0
3.62,11.86,2
32.24,10.92,2
2.9,10.3,2
48.59,10.69,2
37.47,10.99,2
11.11,11.48,2
76.26,6.56,1
0.0,0.0,0
63.84,5.88,1
0.0,0.0,0
45.26,11.55,2
19.82,11.5,2
0.0,0.0,0
138.01,5.6,1
266.84,7.97,1
0.0,0.0,0
139.65,5.78,1
0.0,0.0,0
27.62,9.37,2
40.01,8.2,2
0.0,0.0,0
40.26,9.64,2
269.68,6.14,1
2.11,11.9,2
16.19,11.39,2
249.0,6.15,1
155.63,5.31,1
282.74,6.63,1
13.0,9.59,2
0.0,0.0,0
32.2,11.03,2
5.6,11.18,2
0.0,0.0,0
0.0,0.0,0
0.0,0.0,0
